,Lambda2,Lambda3,Lambda4,Lambda5,muj,YA1,YA2,YB1,YB2,YC1,YC2,YRG,YRH,vx,g1p,Fi11,Fi12,Fi21,Fi22,Fj11,Fj12,Fj21,Fj22,L611,L612,L621,L622,L711,L712,L721,L722,M111,M112,M121,M122,M211,M212,M221,M222,hd11,hd12,hd13,hd21,hd22,hd23,he12,he13,he22,he23,ZP22,ZP23,ZP24,ZP25,ZP32,ZP33,ZP34,ZP35,ZP42,ZP43,ZP44,ZP45,ZP52,ZP53,ZP54,ZP55,mh1,mh2,mH2,mH3,mH4,mH5,mss,MZ,MZp,mnu1,mnu2,mnu3,mchi,mFv,meD1,meD2,VL11,VL12,VL21,VL22,UL11,UL12,UL21,UL22,L1,L2,mv1,mv2,mv3,T,S,U,meg,g2mu,Omega,SIP,SDP,SIN,SDN,sv,etaB,lamt,tht
0,-0.0161616920549312,0.037133554180813017,-0.010237265322947144,-0.016294086814326505,1094844.193226046,0.1258412016957893,0.001447285608294158,0.9152569836371476,0.00013478581863999719,0.6831119494528105,0.0007638765384078101,0.00032304525120394376,0.4337868807129405,7236.417298889322,0.01988485535007832,0.24205721348714826,0.0,0.0,0.007499878071497058,0.007478298692751356,0.0,0.0,0.035969675842310436,0.00022551162418033976,0.0002071686425279019,0.08690267861100351,0.0004120853834083692,0.00010163920925539274,0.003695718398283196,0.041302576585063734,0.005105819483017231,3844060.7213802375,0.0,0.0,4474410.159295284,2299890.3718606303,0.0,0.0,2147689.126622467,-0.00021817129619500816,-0.0001177783647828832,0.0003162870345147958,-0.00018303667049583783,-0.0010847446561497694,-0.0010112565678379948,0.0008927060403727879,0.00017063111685050456,0.0017987575087404003,0.04770664831486947,-5.321808979999999e-07,1.64947087e-05,0.000728730675,-0.999999734,0.000802102083,1.0569601e-08,-0.999999413,-0.000728730867,-0.999999678,9.85359865e-06,-0.000802102258,-5.21732745e-08,9.85359578e-06,1.0,6.45298823e-09,1.64947126e-05,114.072884,1302.00432,1465.55177,1516.53953,1960.62968,2115.28304,1046.58135,91.1887,719.475695,5.8221585799999995e-28,8.40226959e-12,5.09214241e-11,643.919294,3495.42862,3494.41288,4684.65654,-0.999635278,0.0270057491,0.0270057491,0.999635278,0.036177754900000005,-0.999345371,0.999345371,0.036177754900000005,-2.419893456521859e-05,-7.198458697276891e-07,1e-20,8.402518826498138e-12,5.0919894372749576e-11,0.000449793929,0.00026650824,-4.15064547e-07,5.41216722e-24,2.53409135e-14,0.113,7.911e-11,8.49e-56,7.976e-11,6.326e-57,1e-10,0.0,0.0,0.0
1,-0.002817862351078162,0.0005674094179836419,-0.11042049107249448,-0.1675691710333956,694249822.3127043,0.05173453139502002,0.0036353026296767283,0.8275894657690492,0.005473128198296668,0.7510550831858154,0.0005942274688157055,0.0002057926475726465,0.116150198293329,9550.303983746657,0.015583568100982206,0.0366229724674944,0.0,0.0,0.009628906114437966,0.002204987524241476,0.0,0.0,0.0003367963685905741,0.005551960529855218,0.03093984036887965,0.052534300072609535,0.0005401910579194807,0.037739562314302914,0.06049125139032465,0.07293120593056335,0.0011382161541496256,1012529.8393587344,0.0,0.0,20300268.77586917,31389883.98105237,0.0,0.0,17478005.950994443,-0.000142891474020052,-0.0001059337337359677,0.00015551319989570754,-0.0021278082876806307,-0.011098842102132477,-0.009556815610346102,0.08641240866898173,4.41725027249728e-05,1.478935605310888e-05,0.04727433438566391,0.999999999,-4.80946708e-05,-8.14126854e-06,1.08668344e-09,3.25605044e-09,2.3040124600000005e-05,0.000130355583,-0.999999991,-4.80946708e-05,-0.999999999,4.84017119e-09,-2.3040124300000007e-05,-8.1412684e-06,-1.4452107300000002e-09,-0.999999991,-0.000130355583,124.847799,716.957722,1006.32818,4180.67505,4505.5839,5602.76822,26348.7158,91.1887,744.139155,7.565260699999999e-29,8.98459618e-12,5.012443270000001e-11,349.367664,5071.93872,5071.7519,5588.98773,-0.999828152,0.0185382251,0.0185382251,0.999828152,0.0204210445,-0.999791469,0.999791469,0.0204210445,-4.4005963932341756e-07,-7.164039304041092e-08,1e-20,8.984594928417443e-12,5.012444486322645e-11,1.41216886e-06,1.4820176e-06,3.03056146e-06,6.2169653999999994e-21,2.14555592e-14,0.129,1.4920000000000002e-11,5.441999999999998e-63,1.493e-11,4.933999999999998e-63,1e-10,0.0,0.0,0.0
2,-0.4998337496768986,0.00010752400881249095,-0.3065267309172865,-0.01927257895415255,608915300.5965866,0.14560956012879422,0.95532648715126,0.12396565878143205,0.5935359253693576,0.0903414115829244,0.00418389094545848,0.02675942890130083,0.006919359319350013,9903.632133079507,0.04305844776453075,0.002127789393759123,0.0,0.0,0.00013038660863106235,0.0006137802987811783,0.0,0.0,0.023043696802792547,0.002582206068092541,0.0027105784518590393,0.0008897357693576105,0.0012099652388114295,0.006898145357029503,0.00011225401760549973,0.016065883549418025,0.0005938553154526907,12747133.32068166,0.0,0.0,1580024.1157728694,43901200.22034026,0.0,0.0,8060180.139480582,-0.025212963935104443,-0.1368263464340311,-0.12851170787447544,3.3402959339282075,17.348285916947425,15.964395942154384,0.2479073770465413,6.545508301359981e-05,0.007089723063512945,0.0005033252273289205,-7.27740475e-06,1.0,2.57360936e-12,-1.40905594e-07,-2.14462559e-12,1.40905594e-07,-9.39022576e-08,1.0,1.0,7.27740475e-06,-4.78290176e-07,1.07428603e-12,-4.78290176e-07,-9.20477147e-13,-1.0,-9.39022576e-08,124.861944,9901.98489,1257.00449,2839.04875,3570.32315,6625.813670000001,24676.2209,91.1887,2132.17522,1.1491974599999999e-28,8.771559810000001e-12,4.99604308e-11,1019.69316,632.65415,632.6200150000002,868.160609,-0.99990854,0.0135244783,0.0135244783,0.99990854,0.0112356067,-0.999936879,0.999936879,0.0112356067,1.5044322766185044e-08,4.1840269064867925e-09,1e-20,8.771831373103059e-12,4.995855009667101e-11,-6.2075971600000005e-09,3.2978454500000008e-06,0.000197320952,1.69899141e-05,-1.63384134e-09,0.11,1.26e-11,5.103999999999998e-57,1.26e-11,7.07e-56,1e-10,0.0,0.0,0.0
3,-0.0007240209398998472,0.005468411484265703,-0.0630808865421916,-0.12815550857135166,374304604.54517126,0.01989213306828527,0.0012003025221573973,0.0005011532101589954,0.009421484386024746,0.216956437213749,0.0011687992907198205,0.4957263984313444,0.014391438885683618,9314.359408478562,0.005926877289795999,0.0010289475589523476,0.0,0.0,0.08954989655982665,0.002377214548321762,0.0,0.0,0.023267466192584192,0.020337979741818786,0.008602981116962323,0.02026733647443308,0.02652778861015401,0.00031722710100749333,0.0001616336724298447,0.04919493792984424,0.0002002610189480937,40001553.40748194,0.0,0.0,52362869.58317593,8134319.174702441,0.0,0.0,21535881.13759751,0.00017380684341171775,0.0001703513489910913,-0.0002198241420357359,4.3010683344351756e-05,0.00022118498910209198,0.00020726970003403256,0.18259054637508687,0.00022476119564103486,1.3940660069850513e-05,0.02035652906993736,2.12656613e-07,-6.0621472600000005e-12,-1.0,3.61603498e-07,-2.67098097e-10,1.91320205e-05,-3.61603498e-07,-1.0,-1.0,2.08657296e-05,-2.12656613e-07,6.66378562e-10,-2.08657296e-05,-1.0,-5.29343242e-12,-1.91320205e-05,119.140402,356.404562,2852.07442,4640.677320000002,6324.72606,7236.27427,19347.0525,91.1887,276.025301,1.6111608599999998e-28,8.92198391e-12,5.01076009e-11,131.01447,1428.92831,3.14535345,1431.50661,-0.0018758955,0.999998241,0.999998241,0.0018758955,0.998200402,-0.0599662988,0.0599662988,0.998200402,1.489977163107317e-07,8.039942345947121e-06,1e-20,8.921988478454587e-12,5.0107597640768564e-11,0.000844742711,0.0033787381,2.34935787e-06,1.62665521e-26,2.31733426e-14,0.125,2.374e-11,2.182999999999999e-55,2.3870000000000004e-11,3.101e-54,1e-10,0.0,0.0,0.0
4,-0.0757231037873181,0.043581523795367866,-0.0004317091495596285,-0.0747399562952346,8229392.207289911,0.04274193017464629,0.07978308049381176,0.004598862475574178,0.0007387378574981947,0.4664856851404163,0.06017550724494354,0.02442963628449496,0.0010499315299860278,7845.373330168421,0.012767172251355149,0.0018836387987945095,0.0,0.0,0.00010051333260993508,0.00014872555158819628,0.0,0.0,0.0004816201219219593,0.0002524070114155681,0.0002696856351675501,0.0016317998735446678,0.0003905874907481543,0.06983901485305077,0.006811557442685843,0.0002839788076461633,0.02934108978033935,2684858.7043385715,0.0,0.0,9074879.70839988,12040811.295523945,0.0,0.0,2478523.640424653,0.003767342696083788,0.0016051257432138544,-0.008123404772433005,34.324118668131284,159.23059646896297,173.60945201224618,0.0502604639454342,1.605431575415501e-05,1.4824422880130994e-05,0.00016224015829193744,-1.08937454e-09,8.45425224e-08,2.13543284e-05,-1.0,1.0,-1.2653526699999998e-06,-1.11663565e-06,-1.11332652e-09,-1.2653526699999998e-06,-1.0,1.02721174e-11,-8.45425209e-08,-1.11663568e-06,-7.05382837e-12,-1.0,-2.13543284e-05,121.80831,3053.23571,1574.61224,1638.55624,3012.45609,3470.28873,2869.08223,91.1887,500.816054,1.5558816199999999e-28,8.551269770000001e-12,5.03016209e-11,237.11156,2587.83709,25.5119313,2587.84056,-8.637378259999999e-05,0.999999996,0.999999996,8.637378259999999e-05,0.999998663,-0.00163543741,0.00163543741,0.999998663,2.123342493374172e-08,1.302403172207115e-09,1e-20,8.551339738228716e-12,5.0301200438946854e-11,3.4883048e-05,1.90100397e-05,1.13995964e-05,0.00253817502,-1.78600891e-08,0.108,3.365e-11,1.5209999999999995e-54,3.368e-11,1.5209999999999995e-54,1e-10,0.0,0.0,0.0
5,-0.0004306586728805116,0.00023748482586152618,-0.4643623134968916,-0.003231881455869839,7591427.235496875,0.020331578281058683,0.0018300835236630605,0.00011786087260056135,0.7921946120769436,0.0606490484585916,0.002294276156222239,0.11896689378061524,0.001372812432599475,7676.467893668987,0.012816563730140576,0.027787963151588303,0.0,0.0,0.0001287760111807936,0.0005280094052446602,0.0,0.0,0.0006178896805251035,0.0004283542748707473,0.06385115768924017,0.007629593223887313,0.00017670548472268965,0.0018193736174625687,0.0015805409652203913,0.009387529506769788,0.019747867103545345,8703437.88973897,0.0,0.0,4513863.6880791215,21687787.91907485,0.0,0.0,4618756.830116906,1.8344276612227608e-06,5.737450781463517e-05,7.027373928219233e-05,0.0005099380401821621,0.0004356932187552627,-0.0006599404345338152,0.0012904427948024727,0.4237692355821494,0.5109620675414446,0.656338926454432,0.000456935468,-0.999999896,-4.03145124e-09,6.62687293e-06,3.0037238100000007e-09,-6.62687226e-06,2.77630632e-06,-1.0,0.999999896,0.000456935468,-1.1616663800000003e-05,-5.65808968e-11,-1.16166644e-05,-1.29501311e-09,-1.0,-2.77630635e-06,124.839255,225.303166,2124.58665,2149.2671,2950.1613,4657.021,2755.27202,91.1887,491.929564,1.2011724099999995e-29,8.90138459e-12,5.00345255e-11,110.361495,329.208052,0.623664886,329.852017,-0.000840364334,0.999999647,0.999999647,0.000840364334,0.998047966,-0.0624520376,0.0624520376,0.998047966,1.3399686450590454e-06,1.8589826892522925e-08,1e-20,8.901533202248123e-12,5.0033668038716226e-11,-2.46464376e-05,0.00124457394,0.000738606212,4.9825936200000005e-23,2.1486997400000003e-14,0.128,3.525e-11,2.266e-53,3.5270000000000005e-11,5.299999999999997e-54,1e-10,0.0,0.0,0.0
6,-0.1056439539273695,0.00014868017159454995,-0.058787356123059575,-0.0012092918612864071,1856592.337273717,0.0009100576303799287,0.006842791825796829,0.11637916829074985,0.06258111997125611,0.11083764615076308,0.0004627116341154102,0.0007397937862856875,0.09017660161031182,8189.479957683002,0.0002727479399916901,0.04163287295272847,0.0,0.0,0.0007816835831788852,0.0007234627887164217,0.0,0.0,0.00015089877157890207,0.00030215149810149507,0.0017697633402792086,0.005216112757608976,0.01893374046425157,0.004000865553905185,0.01614772630140544,0.00010308307378539392,0.006367230739495495,2712409.9138901657,0.0,0.0,38824336.23372756,1245476.2298094055,0.0,0.0,3830585.332299255,-0.0002689269912281129,-0.0014043336457049526,-0.0016742991546422614,-3.3917446461604404,-0.5463428239890029,7.556641509922183,0.0017156993737356904,0.014500479059708945,0.0008093007381666196,0.0002361580624487059,0.00016436142,-2.54630211e-10,-0.999999969,0.000187274017,-0.999999986,1.46931376e-06,-0.00016436141,7.11461676e-08,-4.0365354e-08,1.29353238e-07,-0.000187274026,-0.999999982,-1.46931379e-06,-1.0,-1.10929506e-11,-1.2935317900000002e-07,124.861922,3764.3824700000014,1116.06264,1646.94235,1957.23683,6230.96362,1362.58147,91.1887,11.1683174,3.2126215499999996e-28,8.89567512e-12,5.0970251799999996e-11,5.26999508,641.842458,640.061347,675.8052,-0.975426016,0.220327226,0.220327226,0.975426016,0.231791579,-0.972765472,0.972765472,0.231791579,-1.6503499528775582e-06,-1.6590149527047127e-09,1e-20,8.924760403404344e-12,5.080414453850488e-11,-8.99804643e-07,2.54801195e-05,0.000191692007,4.89255781e-11,-6.451533030000002e-14,0.102,1.945e-11,9.534999999999999e-52,1.945e-11,6.799e-53,1e-10,0.0,0.0,0.0
7,-0.2634954060215105,0.0001738581340973317,-0.00034597446551095696,-0.00020373758319992228,592578937.2055029,0.00769825574056383,0.006964605308943828,0.0009715127259467607,0.2466334234082008,0.013756328454942277,0.00023952327977484457,0.000207557049541959,0.07540153270733471,9045.587749432983,0.002303664425433641,0.0197493587571455,0.0,0.0,0.14626425657425013,0.00012981296207211548,0.0,0.0,0.00010616451647845504,0.009392114160464466,0.0025937516193360144,0.000883912056370531,0.00011917024688579917,0.0001299753590809469,0.0014138981732928035,0.03423367449475822,0.005333383805395602,1469703.4335801706,0.0,0.0,10310777.304234575,45670132.72038109,0.0,0.0,60420811.96309456,0.18794613665885546,0.1833110940642116,-0.21152242389703949,0.0027241108846725944,0.02354319300538104,0.032273651872596384,0.014212373988218329,0.012106006400708986,4.623360193452857e-05,0.17627316671785806,1.0,-8.796173720000001e-06,-2.85792676e-06,1.4164786200000004e-10,-8.796173720000001e-06,-1.0,9.041446670000001e-12,1.86695618e-05,2.85792676e-06,-6.975004079999999e-11,1.0,-2.8738117e-06,3.07859899e-11,1.86695618e-05,2.8738117e-06,1.0,124.861934,6566.56609,1212.42921,3211.04088,6757.96818,7773.09269,24342.9437,91.1887,104.189977,1.98250887e-28,8.541068989999999e-12,4.90981034e-11,49.239559,87.9881914,6.14106215,88.95663,-0.147506905,0.989061026,0.989061026,0.147506905,0.999942715,-0.0107035499,0.0107035499,0.999942715,1.7828849750767008e-09,7.0337268968111874e-09,1e-20,8.54107189196866e-12,4.909809907367771e-11,-7.17505275e-05,-0.00142589708,0.012956451599999998,1.20298781e-11,-2.372450060000001e-13,0.129,1.746e-11,7.014999999999998e-53,1.746e-11,4.639e-54,1e-10,0.0,0.0,0.0
8,-0.3299143668458788,0.018876219505940456,-0.0004350024823903496,-0.038450844588546085,1001054.5344222992,0.5489121934664957,0.007540719978966719,0.7715674610370467,0.00030710353528974697,0.42422305293341145,0.020592063666810347,0.0018748582123501245,0.06385184906974277,4978.760767552388,0.09614616642685073,0.022756655877558117,0.0,0.0,0.2844457496392769,0.011015356704733031,0.0,0.0,0.00036160845411199326,0.0005804983118098491,0.0016593048163628516,0.00030506216884291105,0.0010366161113187936,0.0039043327457765494,0.0005496086082575666,0.0009364703722835572,0.00039501077030670324,3778695.8898104327,0.0,0.0,8596158.17431129,4354344.420900452,0.0,0.0,42407315.59898024,0.13151797960895095,0.06261783691000708,-0.2251022244648344,-0.5371242646610569,-0.44477952469688464,0.6698861629735079,1.231390381739548e-05,0.003385045297651773,2.7975742869842645e-05,0.0005190597474163039,-0.99999999,1.03267468e-05,0.000139149808,-3.27065791e-10,-0.000139149808,1.52977817e-09,-0.99999999,4.33034888e-07,1.03267469e-05,1.0,7.998823340000002e-11,-2.96173232e-05,3.90415331e-11,2.96173232e-05,4.330349320000001e-07,1.0,124.732087,4044.24394,1943.8913,2086.73455,2931.92583,6512.091210000001,1001.1033,91.1887,2393.44401,8.498383289999999e-28,8.79063307e-12,5.03223673e-11,1932.454,1493.48407,1493.46443,2716.34879,-0.999994292,0.0033787165500000003,0.0033787165500000003,0.999994292,0.0059278451,-0.99998243,0.99998243,0.0059278451,-2.0167609723845914e-07,-3.485436894425393e-07,1e-20,8.790636189879747e-12,5.0322379197580656e-11,9.19678386e-07,1.56717469e-06,3.52845898e-05,1.09218739e-11,-1.82055245e-13,0.12,2.055e-10,0.0,2.057e-10,0.0,1e-10,0.0,0.0,0.0
9,-0.8612855991288434,2.525104444827337e-05,-0.9457762271213824,-0.037426107958505074,201504938.75911257,0.2496529692981765,0.0005085477930551603,0.1032423963990204,0.0557073303798222,0.2605573587923734,0.02637807171178841,0.1190807988881403,0.22335405396120925,6669.697322265116,0.07518351718267187,0.0009716727817565304,0.0,0.0,0.002164011950665237,0.0007372248784372638,0.0,0.0,0.0026786374526640627,0.0001282114491824086,0.004653256160673081,0.011710093041914895,0.011853565103634108,0.0006582471517063072,0.05808915034775474,0.00011557206479859052,0.003819126779010679,12605003.25482984,0.0,0.0,76472546.33733737,2121966.0200515655,0.0,0.0,45136536.17825578,4.083538942929175,19.24357639984061,17.6872472094753,0.003612716242958747,-0.006300112703937514,-0.01888020652482768,1.000146992505605e-05,3.859298327211498e-05,0.03991681926827819,0.00029325658708575716,4.371442929999999e-07,-6.37800746e-12,-0.999999999,4.04888365e-05,1.0,-2.18439492e-06,4.371442929999999e-07,-2.27176571e-11,4.30675887e-12,-3.25689484e-07,4.04888365e-05,0.999999999,2.18439492e-06,1.0,7.76367966e-12,3.25689484e-07,124.861947,8753.761209999999,1456.7037,3550.35264,6718.381840000001,8744.87881,14195.2817,91.1887,2507.25649,3.56300154e-30,8.93127059e-12,4.9811422100000004e-11,1177.41048,1228.83768,485.775295,1230.06794,-0.045120392300000006,0.998981556,0.998981556,0.045120392300000006,0.999401033,-0.0346059897,0.0346059897,0.999401033,4.8873148760109656e-08,1.947581230833632e-08,1e-20,8.932960097243601e-12,4.980198899609107e-11,-2.6108410600000006e-05,0.000272044479,5.22532986e-05,6.27564422e-07,-2.84898492e-10,0.112,6.125999999999999e-11,1.5869999999999994e-56,6.125999999999999e-11,2.253e-55,1e-10,0.0,0.0,0.0
