,Lambda2,Lambda3,Lambda4,Lambda5,muj,YA1,YA2,YB1,YB2,YC1,YC2,YRG,YRH,vx,g1p,Fi11,Fi12,Fi21,Fi22,Fj11,Fj12,Fj21,Fj22,L611,L612,L621,L622,L711,L712,L721,L722,M111,M112,M121,M122,M211,M212,M221,M222,hd11,hd12,hd13,hd21,hd22,hd23,he12,he13,he22,he23,ZP22,ZP23,ZP24,ZP25,ZP32,ZP33,ZP34,ZP35,ZP42,ZP43,ZP44,ZP45,ZP52,ZP53,ZP54,ZP55,mh1,mh2,mH2,mH3,mH4,mH5,mss,MZ,MZp,mnu1,mnu2,mnu3,mchi,mFv,meD1,meD2,VL11,VL12,VL21,VL22,UL11,UL12,UL21,UL22,L1,L2,mv1,mv2,mv3,T,S,U,meg,g2mu,Omega,SIP,SDP,SIN,SDN,sv,etaB
0,-0.0009428849397976208,0.0016312072825488606,-0.010784745667564488,-0.0008810205477765972,476613239.50868624,0.2736997883942397,0.05942621402593504,0.0017544480344109349,0.002790087553516008,0.11519246773792782,0.2602862935023349,0.19706170098569026,0.012704164593524305,416.81821935851707,0.050187388618409635,0.001957344510678443,0.0,0.0,0.021787528093674,0.001066362458052697,0.0,0.0,0.010126255285788595,0.00019929509595581867,0.00011152451734361887,0.004630422542750043,0.003923470794003282,0.003697113216953769,0.0007899561728553902,0.02087608038319775,0.0473653867817222,64461478.30009829,0.0,0.0,18846202.94335244,39954342.2474129,0.0,0.0,71161238.74816264,7.283105514750116,39.07565072238025,43.03709498827981,0.0011404262417401133,-0.003648948233075261,-0.009428303244147037,0.00012803011991196825,0.0003731175676496533,0.0570743912269833,0.010891192939757098,-7.32991541e-08,1.0,1.39437134e-13,-1.22744573e-07,2.35400989e-08,2.34640063e-13,-1.0,7.588782809999998e-07,1.0,7.32991541e-08,2.35400989e-08,-1.5343574e-13,1.2657459699999998e-13,1.22744573e-07,7.588782809999998e-07,1.0,18.0502849,124.866502,4341.234570000001,6320.953320000001,8028.79107,8435.79635,21831.4733,91.1887,104.595088,4.28610242e-29,8.65799598e-12,4.9650576500000004e-11,80.6689039,33.951258700000004,1.19362262,48.1727003,0.0398416174,-0.999206008,0.999206008,0.0398416174,0.706041832,-0.7081701290000001,0.7081701290000001,0.706041832,2.431955587828613e-09,3.521782450099544e-08,1e-20,8.657825287385701e-12,4.9651550414568254e-11,0.0485977111,0.15509668699999998,-0.0919620799,4.35218615e-07,-2.70117871e-10,0.127,4.165e-06,1.221e-49,4.1689999999999985e-06,1.644e-48,1e-10,9.026577306292778e-11
1,-0.011324875301448706,0.011633545167023585,-0.4432708304077037,-0.000172643436817623,46239939.63157115,0.3736206824690964,0.00077569149636967,0.3635965216136537,0.00043766074915567796,0.8140381980818467,0.0015707572293652806,0.8345249355076304,0.3345418935713647,411.52347050950897,0.04990707198819358,0.007733611443083426,0.0,0.0,0.0029562218389664213,0.07537772005147343,0.0,0.0,0.0003762643682554286,0.059499379289172975,0.0009708480386245328,0.0003420114840507102,0.0140184460781501,0.026524919266777167,0.029668854483449462,0.003803794203093632,0.0002762059511967606,17117729.07684862,0.0,0.0,25682611.02651766,34636892.7899139,0.0,0.0,12000374.666534642,-0.005219979835368224,-0.03788638804634927,-0.04575643081689879,0.007386803919048949,0.03356352796040981,0.03387624051546265,0.016510503607391005,1.176692311300421e-05,0.03859630369439247,0.024338250119089324,-1.76312345e-11,6.28704262e-08,3.92935727e-05,-0.999999999,-1.0,3.39894917e-06,1.2846156e-07,2.28926415e-11,3.39894917e-06,1.0,-7.0993709e-12,6.28704259e-08,-1.28461561e-07,-4.1923332199999986e-12,-0.999999999,-3.92935727e-05,60.9917419,125.323105,3464.15621,4137.57343,5067.84276,5885.37894,6799.99597,91.1887,102.689661,2.1126437999999995e-28,8.81769441e-12,5.00956887e-11,108.720283,236.877837,56.1459352,297.301533,-0.365672007,0.93074378,0.93074378,0.365672007,0.812826209,-0.582506269,0.582506269,0.812826209,8.126816813463727e-08,4.269912185670489e-08,1e-20,8.818279924032292e-12,5.00923728670405e-11,-0.0632603313,0.191303297,0.0132156483,9.933861599999999e-18,1.9670198500000002e-14,0.118,4.361e-06,7.878999999999997e-50,4.364e-06,1.0529999999999999e-48,1e-10,9.10170104917448e-11
2,-0.00016863589802586714,0.001323359178638782,-0.00041161576235381896,-0.03048945914777125,11690932.588261236,0.7770577623733202,0.05561372867907132,0.00015186274809596346,0.00022377062628012401,0.18124992805338394,0.1774428852192032,0.0018593522530492073,0.041646003398021054,1250.658530120713,0.024300278466994576,0.0065769776006269825,0.0,0.0,0.0007179283288463362,0.0008851178072189305,0.0,0.0,0.0006095750305613881,0.0003162953419069262,0.002609518949312786,0.027478283159838,0.024962658554984102,0.00032214941701086874,0.02773453242709659,0.0017356762732093991,0.028865897631433338,1431567.2896251725,0.0,0.0,2319146.1077364427,20630851.74825236,0.0,0.0,6144241.760477263,18.724253512614773,87.7927464081822,91.9448125135923,0.2909572999131453,-2.450795108747021,-4.600693222087865,0.00011650398870970832,0.0002456043089207765,0.015294836140421715,0.0006017273210021176,0.999999996,-8.80705287e-05,-3.02946048e-07,6.53043139e-11,-8.80705287e-05,-0.999999996,2.04379908e-11,1.6597755e-07,6.80759435e-11,-1.6597755499999998e-07,5.74008494e-05,-0.999999998,-3.0294604600000005e-07,-3.2846244599999996e-12,-0.999999998,-5.74008494e-05,22.7298539,124.902945,1196.48505,1523.11996,2478.93271,4542.1206200000015,3419.3338700000004,91.1887,151.956819,1.0980647499999996e-28,8.50070181e-12,4.9756884999999996e-11,687.190646,160.288251,0.119694943,160.450705,-0.0449434657,0.998989532,0.998989532,0.0449434657,0.999997915,-0.00204209134,0.00204209134,0.999997915,1.6068747252689935e-09,3.2017945386205764e-10,1e-20,8.499259376434096e-12,4.976531879667687e-11,0.0583827421,0.172280004,0.00201350626,0.0268755754,-5.95144736e-08,0.113,2.079e-07,2.29e-59,2.114e-07,2.126e-59,1e-10,8.854568862421216e-11
3,-0.008784018055826496,2.594928670724679e-05,-0.00014526757943504254,-0.00012281955150928822,9026419.11153929,0.09436369305533802,0.0005918087386874402,0.4326189599998544,0.20467406849173475,0.05494004693065152,0.0002703321702827686,0.03752081612409261,0.00013959909393752192,313.026639146162,0.053469371184950085,0.2008130842543729,0.0,0.0,0.3081965398109288,0.025079936303192937,0.0,0.0,0.008213177435324027,0.0006388297853629568,0.00028565925692071204,0.002786727959206385,0.0010856357510337237,0.005954143295272554,0.006322597099108021,0.003369703627005267,0.0002122815109057864,19994874.10201628,0.0,0.0,96653356.2311379,1524166.1884416803,0.0,0.0,3199581.1099705435,0.001064119026983767,0.006283616827390789,0.00676613924910464,0.0001294274286785139,0.00010077754242869418,-0.0001523785634863451,0.00024527499471520785,0.021490608831920825,0.3858106657381266,0.13276701085264092,-2.4064596400000003e-06,8.135774470000001e-11,0.999999994,-0.000113151276,-2.99081652e-10,-7.299564599999998e-07,0.000113151276,0.999999994,-1.0,1.11719702e-07,-2.40645966e-06,-2.67061202e-11,-1.11719702e-07,-1.0,-1.5067510099999999e-12,-7.299564649999998e-07,41.4899407,124.859774,1234.64347,1788.73905,4471.56451,9831.24573,3004.40055,91.1887,83.6866755,9.84233109e-28,8.74674425e-12,5.0054218599999997e-11,20.8867641,12.1606082,12.1306002,95.98122109999998,-0.997629017,0.06882110450000001,0.06882110450000001,0.997629017,0.00897072012,-0.999959762,0.999959762,0.00897072012,2.520582841166066e-07,1.0186046151510119e-07,1e-20,8.74542462299552e-12,5.006176864846734e-11,0.0499841188,0.111361259,-0.06332563179999999,2.4991544700000006e-21,2.14600302e-14,0.127,1.158e-05,3.4149999999999994e-47,1.158e-05,2.6879999999999995e-48,1e-10,8.47588023347504e-11
4,-0.0031717585950123447,0.0002244134218968958,-0.033396202038085215,-0.17986213509425306,13637634.686389135,0.05408427526776823,0.08042242891048103,0.00022705640669235278,0.6428718345114997,0.7054502024193502,0.4210008756310381,0.0050002254022218345,0.03682587374550565,6088.134125844696,0.003119845367734206,0.4390387058403281,0.0,0.0,0.020427558219306224,0.001978348343722727,0.0,0.0,0.0006709618389919192,0.011595501012187023,0.0024703362899233237,0.009428012808692508,0.0006309366336332057,0.022843563116196453,0.00045962209367808897,0.0008240622565806803,0.010539817778745466,40129342.2143105,0.0,0.0,1210767.6391120644,31879894.62298937,0.0,0.0,21945530.10717765,0.008352442857311406,0.08250973639178663,0.09037336095332037,0.026370486814457528,0.018417573037073583,-0.030491583461449145,2.271313039549229e-05,0.0020252517842197526,0.0074329884806642035,0.00524153879945509,-1.90305932e-06,1.0,1.1918227e-10,-4.2411186500000005e-06,1.26899802e-10,4.2411186500000005e-06,-1.38708078e-06,1.0,-0.000229120914,-5.4932982e-10,0.999999974,1.38708077e-06,0.999999974,1.90305925e-06,0.000229120914,1.82838317e-10,124.859905,484.897295,1100.35763,4684.63937,5646.28856,6334.799770000001,3693.64624,91.1887,94.97017209999998,5.90771956e-28,8.98360388e-12,5.03390723e-11,232.830707,3036.93548,0.975648845,3036.9423,-0.00209973222,0.999997796,0.999997796,0.00209973222,0.999999959,-0.000285764832,0.000285764832,0.999999959,2.058691436191993e-07,2.7541140071189506e-08,1e-20,8.983597059893502e-12,5.033910928858744e-11,3.421140250000001e-07,3.8977559100000006e-06,8.522453e-06,1.33353538e-16,1.94889293e-14,0.13,8.826e-11,3.459000000000001e-55,8.826e-11,4.913e-54,1e-10,8.243703630514376e-11
5,-0.020118369656543785,0.03363771144153796,-0.002267495539210052,-0.07878697295965158,18595547.557339054,0.06556194647887582,0.0008947686979575498,0.005879806324495232,0.005492405972326617,0.15695877416809592,0.011487459263088315,0.0012259806681567,0.003716132240039274,1245.7385596529793,0.003857271662562385,0.9116305323745084,0.0,0.0,0.014589064144403146,0.0010552126972146842,0.0,0.0,0.017925008331395667,0.004740227789468803,0.012838574666367729,0.00022341459546470336,0.007199340568672202,0.06532038428437828,0.019656342239494626,0.0248922491635152,0.00010853140990128207,30208079.35938061,0.0,0.0,1151320.0736637434,86597750.9226537,0.0,0.0,2385547.140081949,0.0021848892096833113,0.0018750500835535808,-0.003412256419881697,-0.001341296664287761,0.00914823584849027,0.01917721990378932,0.10814557057199146,0.2458605025699103,0.009599226484357229,0.28383565721920273,1.32472596e-05,-1.0,-1.9632046399999998e-10,1.04140377e-05,-5.7902213800000007e-11,-1.04140377e-05,6.997985259999998e-06,-1.0,1.0,1.32472596e-05,-1.4240242e-05,-2.95512678e-10,-1.4240242e-05,-6.520099329999999e-11,-1.0,-6.997985259999998e-06,115.938214,254.147205,1073.0963800000004,1544.52266,5496.2007,9305.89643,4312.52967,91.1887,24.0257708,2.6095651699999996e-28,8.79583442e-12,5.04266659e-11,57.7515873,138.260376,5.17829602,138.262075,-0.00471801477,0.99998887,0.99998887,0.00471801477,0.999998534,-0.00171207505,0.00171207505,0.999998534,2.010116631854461e-08,9.725120371292587e-09,1e-20,8.795430302372383e-12,5.0428963007065024e-11,0.00306639813,0.00270305263,0.00437676982,2.32796484e-18,2.30338054e-14,0.117,5.109e-08,2.015e-55,5.112e-08,1.826e-55,1e-10,8.574159715442527e-11
6,-0.09509868306711224,0.01806153303048164,-0.00040963567833320985,-0.11160916866601324,2555096.8957886067,0.8603630725721889,0.3965010298276893,0.22251708855967994,0.0002163743611169141,0.8439984885446503,0.03205232914480356,0.05879987026265913,0.00034487122821179816,1382.1465078085162,0.03613188221014165,0.01575916833374207,0.0,0.0,0.0006900743978034247,0.0014248684389508127,0.0,0.0,0.04027246416303083,0.0045752401547284795,0.0001149270733690643,0.005508862453524108,0.005815581301639395,0.0007778176671409567,0.001023143247999552,0.047220104969872785,0.0009460455124101406,2460219.94307954,0.0,0.0,83701023.99433571,15520208.123256462,0.0,0.0,1278003.2755220095,0.03276360439369698,0.028355838978068506,-0.03376745103610202,0.004535926182901821,0.029458800693601087,0.03529262573793482,0.001383825559272155,0.0006774950294848027,1.5171917814409634e-05,0.6041174281535383,2.8081503600000004e-11,-8.18249743e-09,-2.15385267e-06,1.0,1.0,-4.24135723e-08,-1.17932504e-06,-3.0621943e-11,-1.17932504e-06,8.091358159999999e-14,-1.0,-2.15385267e-06,4.24135723e-08,1.0,1.3269401200000002e-14,8.18249743e-09,124.43102,602.865831,1130.50049,1568.5525699999996,3939.57273,9148.83568,1599.51344,91.1887,249.697848,3.5360083599999994e-28,8.50739311e-12,5.07865891e-11,840.8548109999998,824.86127,217.453046,824.929006,-0.00357445403,0.999993612,0.999993612,0.00357445403,0.99991176,-0.0132843107,0.0132843107,0.99991176,1.1191258676080148e-07,1.8259754303551507e-09,1e-20,8.507391748970357e-12,5.0786583646246723e-11,5.52182229e-05,6.54507825e-05,0.000114720129,1.7556587699999998e-15,1.8745154199999997e-14,0.119,3.525e-08,2.2779999999999995e-60,3.528e-08,2.065e-60,1e-10,9.140429351073907e-11
7,-0.0005931434980135553,0.0039318469060417105,-0.0012984918940894333,-0.00031362431338406444,3314203.1470225137,0.4170800785712396,0.0008782890800839981,0.00043727832231805325,0.004992136423528983,0.2022349111302861,0.0015936577518932133,0.00046970243192560185,0.08908083316531237,777.8342260793004,0.0189729457500454,0.020059228738495014,0.0,0.0,0.010858057656360328,0.01817164998557003,0.0,0.0,0.009002189350138344,0.08619773887119285,0.06633537532876836,0.0003211952962010321,0.00010193932517979872,0.00045883804563559756,0.00038423335092139735,0.00036611058816044185,0.012155780633218757,1066286.1263224615,0.0,0.0,27562616.419584986,2336514.86481258,0.0,0.0,2476469.306996772,0.00881259389567257,0.07280873253415886,0.0908665266719922,0.029542530882156658,0.0110083253357289,-0.06024922247727961,0.011714454673872858,0.13893999141979033,0.5163260555231763,0.3931238108162456,-0.999999997,7.506557070000001e-05,8.703300289999997e-06,-3.89608157e-10,-8.70330027e-06,6.66711488e-10,-0.999999997,8.210356289999999e-05,-3.07093283e-10,2.38065543e-07,-8.210356289999999e-05,-0.999999997,7.506557070000001e-05,0.999999997,3.29391307e-11,2.38065517e-07,26.0790931,125.009927,1033.86174,1528.57082,1573.79587,5250.011729999998,1820.49784,91.1887,73.7890469,2.26290199e-28,8.578297849999999e-12,5.04747949e-11,229.398992,111.231589,0.227057865,112.295977,-0.13735555,0.990521808,0.990521808,0.13735555,0.999999488,-0.00101154746,0.00101154746,0.999999488,3.3525075768836727e-09,2.914352983584293e-10,1e-20,8.577528949026893e-12,5.047931167674076e-11,0.0569675268,0.159272041,0.00561908042,8.02317489e-15,-3.40536809e-14,0.136,5.745000000000001e-07,3.047e-57,5.787e-07,2.903e-57,1e-10,8.276177363993112e-11
8,-0.042086534325187774,0.0016177836046722936,-0.0020231104255490216,-0.00012900616189937526,105940842.39011896,0.19433345984958209,0.0016053523622023556,0.1296023821111063,0.0012396221734335615,0.09978252294193347,0.4687874833059186,0.00013643186221869763,0.0583537778235634,4605.010270813243,0.003366617904957039,0.00045605012578700977,0.0,0.0,0.0016405884524093605,0.0004500548622205988,0.0,0.0,0.0003902122011529663,0.00011134477664980283,0.010072207782784856,0.00042452520145366216,0.0019207205118711888,0.003718999997976978,0.010265263977293862,0.030970420283222805,0.0046909445527630895,1899526.7334932468,0.0,0.0,29412097.4197868,17010969.28030425,0.0,0.0,1613555.5912952928,-6.115021594407327,-27.1663119966266,-28.16668488235641,-0.007676941232312534,-0.00551342622026055,0.014345109758579937,0.00010908425665318768,0.0019088110460512985,0.34483193083179164,0.0004352273371180369,3.0687824e-10,-1.92173883e-07,-1.9988483600000007e-05,1.0,1.0,-1.09761382e-05,-9.82695712e-08,-3.10951827e-10,-9.82695773e-08,1.10036373e-11,-1.0,-1.9988483600000007e-05,1.09761382e-05,1.0,6.0837583e-12,1.9217388e-07,124.854415,1336.03355,1270.3136,1378.2345,4124.44924,5423.29767,10292.7549,91.1887,77.5165478,1.37806442e-28,8.96809881e-12,5.03996646e-11,632.7953110000002,324.915214,324.685854,422.313094,-0.998977963,0.0451998918,0.0451998918,0.998977963,0.058676610199999986,-0.998277043,0.998277043,0.058676610199999986,-6.651337604150861e-10,-1.5931818706380726e-09,1e-20,8.98894527841635e-12,5.0282796147809496e-11,-1.6090807199999994e-07,3.07349007e-05,0.0007564990880000001,0.000143668432,-4.06430802e-09,0.134,2.717e-10,1.153e-54,2.7180000000000003e-10,8.642999999999996e-56,1e-10,9.105407754264995e-11
9,-0.0017271856941119589,0.0011957494647231105,-0.17561713938549214,-0.02307203394565208,159635478.06676105,0.8230139117569621,0.06370309597152944,0.0843578582005903,0.09241636118550324,0.05772928232334025,0.7830396397875299,0.0005254118092217608,0.008003489242492123,1311.6946648756325,0.03947731413224168,0.4655775789158606,0.0,0.0,0.0029120972331358103,0.04336627545896479,0.0,0.0,0.03260857487832747,0.0016491813269813313,0.00016073739918162958,0.0006691336122113675,0.03129806394969372,0.003491386338708297,0.001822056446582139,0.00016925929205454838,0.010073886389422429,18462757.156485207,0.0,0.0,20536618.381083187,14532635.934653135,0.0,0.0,21387893.053035766,2.1830325653083777,10.35179107277393,9.426345618298553,0.2614413951877935,0.06892826267385346,-0.5491005927868047,2.0347487455842706e-05,0.00024183098184187905,0.2131462865863194,0.00019238590146160588,-0.000109877869,9.17654238e-11,0.999999994,-7.96846363e-06,-0.999999994,2.32273723e-06,-0.000109877869,2.0496693e-09,2.32273722e-06,1.0,1.3814993700000002e-10,-3.175273450000001e-06,1.18148682e-09,3.175273450000001e-06,7.9684638e-06,1.0,76.99435840000002,124.921892,3812.18371,4296.83715,4531.8383,4624.73697,12634.7217,91.1887,258.91095099999995,4.5927719299999995e-29,8.45886519e-12,5.04621444e-11,763.3523299999998,53.5443938,53.5255185,78.26786240000001,-0.9996888,0.0249459961,0.0249459961,0.9996888,0.0347664661,-0.999395464,0.999395464,0.0347664661,1.472737513320521e-08,7.255507890750204e-11,1e-20,8.458866123544424e-12,5.0462158596976285e-11,0.0298681179,0.0476748305,0.0631207908,3.34813662e-08,-6.615559810000001e-11,0.121,4.956e-08,0.0,4.971e-08,0.0,1e-10,9.212364936146518e-11
